dataset,model,method,n_features,accuracy,f1_score,auc,train_time
ibtracs.last3years,logistic_regression,shap,10,0.9774484536082474,0.8235294117647058,0.991531006610841,0.016031980514526367
ibtracs.last3years,random_forest,shap,10,0.9810996563573883,0.837037037037037,0.9918757568077496,0.22004079818725586
ibtracs.last3years,xgboost,shap,10,0.9813144329896907,0.8409506398537477,0.9926062176210018,0.12598609924316406
ibtracs.last3years,logistic_regression,shap,20,0.9725085910652921,0.799373040752351,0.9923497883284991,0.025722980499267578
ibtracs.last3years,random_forest,shap,20,0.9817439862542955,0.8393194706994329,0.9911632161780002,0.25320911407470703
ibtracs.last3years,xgboost,shap,20,0.9802405498281787,0.8270676691729323,0.9935555606756079,0.13776111602783203
ibtracs.last3years,logistic_regression,shap,30,0.9757302405498282,0.8168557536466775,0.9919350640817228,0.03164267539978027
ibtracs.last3years,random_forest,shap,30,0.9823883161512027,0.8458646616541353,0.9921347461264671,0.2667200565338135
ibtracs.last3years,xgboost,shap,30,0.979381443298969,0.8146718146718147,0.9936758819076974,0.17020630836486816
ibtracs.last3years,logistic_regression,shap,40,0.9768041237113402,0.8217821782178217,0.9915263132294475,0.05648684501647949
ibtracs.last3years,random_forest,shap,40,0.9815292096219931,0.8352490421455939,0.9913390046447409,0.28505587577819824
ibtracs.last3years,xgboost,shap,40,0.9817439862542955,0.8405253283302064,0.9937360425237421,0.17453408241271973
ibtracs.last3years,logistic_regression,shap,50,0.9778780068728522,0.8257191201353637,0.9907437985498305,0.09631991386413574
ibtracs.last3years,random_forest,shap,50,0.9810996563573883,0.8314176245210728,0.9879136895695145,0.32044410705566406
ibtracs.last3years,xgboost,shap,50,0.9802405498281787,0.8264150943396227,0.9938614838082609,0.24126815795898438
ibtracs.last3years,logistic_regression,lime,10,0.9759450171821306,0.8163934426229508,0.9918574099532111,0.011131048202514648
ibtracs.last3years,random_forest,lime,10,0.9774484536082474,0.8022598870056498,0.9807289759980475,0.17725491523742676
ibtracs.last3years,xgboost,lime,10,0.9823883161512027,0.8492647058823529,0.9923028545145636,0.11613011360168457
ibtracs.last3years,logistic_regression,lime,20,0.9737972508591065,0.8044871794871795,0.991621460870426,0.011884927749633789
ibtracs.last3years,random_forest,lime,20,0.9815292096219931,0.8358778625954199,0.9913620448806729,0.16430091857910156
ibtracs.last3years,xgboost,lime,20,0.979381443298969,0.8160919540229885,0.9922333071357317,0.12799692153930664
ibtracs.last3years,logistic_regression,lime,30,0.9725085910652921,0.7942122186495176,0.990260380266294,0.02221202850341797
ibtracs.last3years,random_forest,lime,30,0.9819587628865979,0.8426966292134831,0.9915869005165279,0.18554997444152832
ibtracs.last3years,xgboost,lime,30,0.9823883161512027,0.8514492753623188,0.992761525878025,0.1397838592529297
ibtracs.last3years,logistic_regression,lime,40,0.9716494845360825,0.7911392405063291,0.9907258783663279,0.030775070190429688
ibtracs.last3years,random_forest,lime,40,0.9823883161512027,0.844106463878327,0.9929919282373452,0.21204090118408203
ibtracs.last3years,xgboost,lime,40,0.9810996563573883,0.8382352941176471,0.9940816460627224,0.14787673950195312
ibtracs.last3years,logistic_regression,lime,50,0.9753006872852233,0.8067226890756303,0.9891574356388075,0.03277587890625
ibtracs.last3years,random_forest,lime,50,0.9815292096219931,0.8371212121212122,0.9924615761398728,0.22222304344177246
ibtracs.last3years,xgboost,lime,50,0.9800257731958762,0.8293577981651377,0.9938119899681106,0.15624499320983887
